orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight
10248,VINET,5,04/07/2013,01/08/2013,16/07/2013,3,32.38
10249,TOMSP,6,05/07/2013,16/08/2013,10/07/2013,1,11.61
10250,HANAR,4,08/07/2013,05/08/2013,12/07/2013,2,65.83
10251,VICTE,3,08/07/2013,05/08/2013,15/07/2013,1,41.34
10252,SUPRD,4,09/07/2013,06/08/2013,11/07/2013,2,51.3
10253,HANAR,3,10/07/2013,24/07/2013,16/07/2013,2,58.17
10254,CHOPS,5,11/07/2013,08/08/2013,23/07/2013,2,22.98
10255,RICSU,9,12/07/2013,09/08/2013,15/07/2013,3,148.33
10256,WELLI,3,15/07/2013,12/08/2013,17/07/2013,2,13.97
10257,HILAA,4,16/07/2013,13/08/2013,22/07/2013,3,81.91
10258,ERNSH,1,17/07/2013,14/08/2013,23/07/2013,1,140.51
10259,CENTC,4,18/07/2013,15/08/2013,25/07/2013,3,3.25
10260,OTTIK,4,19/07/2013,16/08/2013,29/07/2013,1,55.09
10261,QUEDE,4,19/07/2013,16/08/2013,30/07/2013,2,3.05
10262,RATTC,8,22/07/2013,19/08/2013,25/07/2013,3,48.29
10263,ERNSH,9,23/07/2013,20/08/2013,31/07/2013,3,146.06
10264,FOLKO,6,24/07/2013,21/08/2013,23/08/2013,3,3.67
10265,BLONP,2,25/07/2013,22/08/2013,12/08/2013,1,55.28
10266,WARTH,3,26/07/2013,06/09/2013,31/07/2013,3,25.73
10267,FRANK,4,29/07/2013,26/08/2013,06/08/2013,1,208.58
10268,GROSR,8,30/07/2013,27/08/2013,02/08/2013,3,66.29
10269,WHITC,5,31/07/2013,14/08/2013,09/08/2013,1,4.56
10270,WARTH,1,01/08/2013,29/08/2013,02/08/2013,1,136.54
10271,SPLIR,6,01/08/2013,29/08/2013,30/08/2013,2,4.54
10272,RATTC,6,02/08/2013,30/08/2013,06/08/2013,2,98.03
10273,QUICK,3,05/08/2013,02/09/2013,12/08/2013,3,76.07
10274,VINET,6,06/08/2013,03/09/2013,16/08/2013,1,6.01
10275,MAGAA,1,07/08/2013,04/09/2013,09/08/2013,1,26.93
10276,TORTU,8,08/08/2013,22/08/2013,14/08/2013,3,13.84
10277,MORGK,2,09/08/2013,06/09/2013,13/08/2013,3,125.77
10278,BERGS,8,12/08/2013,09/09/2013,16/08/2013,2,92.69
10279,LEHMS,8,13/08/2013,10/09/2013,16/08/2013,2,25.83
10280,BERGS,2,14/08/2013,11/09/2013,12/09/2013,1,8.98
10281,ROMEY,4,14/08/2013,28/08/2013,21/08/2013,1,2.94
10282,ROMEY,4,15/08/2013,12/09/2013,21/08/2013,1,12.69
10283,LILAS,3,16/08/2013,13/09/2013,23/08/2013,3,84.81
10284,LEHMS,4,19/08/2013,16/09/2013,27/08/2013,1,76.56
10285,QUICK,1,20/08/2013,17/09/2013,26/08/2013,2,76.83
10286,QUICK,8,21/08/2013,18/09/2013,30/08/2013,3,229.24
10287,RICAR,8,22/08/2013,19/09/2013,28/08/2013,3,12.76
10288,REGGC,4,23/08/2013,20/09/2013,03/09/2013,1,7.45
10289,BSBEV,7,26/08/2013,23/09/2013,28/08/2013,3,22.77
10290,COMMI,8,27/08/2013,24/09/2013,03/09/2013,1,79.7
10291,QUEDE,6,27/08/2013,24/09/2013,04/09/2013,2,6.4
10292,TRADH,1,28/08/2013,25/09/2013,02/09/2013,2,1.35
10293,TORTU,1,29/08/2013,26/09/2013,11/09/2013,3,21.18
10294,RATTC,4,30/08/2013,27/09/2013,05/09/2013,2,147.26
10295,VINET,2,02/09/2013,30/09/2013,10/09/2013,2,1.15
10296,LILAS,6,03/09/2013,01/10/2013,11/09/2013,1,0.12
10297,BLONP,5,04/09/2013,16/10/2013,10/09/2013,2,5.74
10298,HUNGO,6,05/09/2013,03/10/2013,11/09/2013,2,168.22
10299,RICAR,4,06/09/2013,04/10/2013,13/09/2013,2,29.76
10300,MAGAA,2,09/09/2013,07/10/2013,18/09/2013,2,17.68
10301,WANDK,8,09/09/2013,07/10/2013,17/09/2013,2,45.08
10302,SUPRD,4,10/09/2013,08/10/2013,09/10/2013,2,6.27
10303,GODOS,7,11/09/2013,09/10/2013,18/09/2013,2,107.83
10304,TORTU,1,12/09/2013,10/10/2013,17/09/2013,2,63.79
10305,OLDWO,8,13/09/2013,11/10/2013,09/10/2013,3,257.62
10306,ROMEY,1,16/09/2013,14/10/2013,23/09/2013,3,7.56
10307,LONEP,2,17/09/2013,15/10/2013,25/09/2013,2,0.56
10308,ANATR,7,18/09/2013,16/10/2013,24/09/2013,3,1.61
10309,HUNGO,3,19/09/2013,17/10/2013,23/10/2013,1,47.3
10310,THEBI,8,20/09/2013,18/10/2013,27/09/2013,2,17.52
10311,DUMON,1,20/09/2013,04/10/2013,26/09/2013,3,24.69
10312,WANDK,2,23/09/2013,21/10/2013,03/10/2013,2,40.26
10313,QUICK,2,24/09/2013,22/10/2013,04/10/2013,2,1.96
10314,RATTC,1,25/09/2013,23/10/2013,04/10/2013,2,74.16
10315,ISLAT,4,26/09/2013,24/10/2013,03/10/2013,2,41.76
10316,RATTC,1,27/09/2013,25/10/2013,08/10/2013,3,150.15
10317,LONEP,6,30/09/2013,28/10/2013,10/10/2013,1,12.69
10318,ISLAT,8,01/10/2013,29/10/2013,04/10/2013,2,4.73
10319,TORTU,7,02/10/2013,30/10/2013,11/10/2013,3,64.5
10320,WARTH,5,03/10/2013,17/10/2013,18/10/2013,3,34.57
10321,ISLAT,3,03/10/2013,31/10/2013,11/10/2013,2,3.43
10322,PERIC,7,04/10/2013,01/11/2013,23/10/2013,3,0.4
10323,KOENE,4,07/10/2013,04/11/2013,14/10/2013,1,4.88
10324,SAVEA,9,08/10/2013,05/11/2013,10/10/2013,1,214.27
10325,KOENE,1,09/10/2013,23/10/2013,14/10/2013,3,64.86
10326,BOLID,4,10/10/2013,07/11/2013,14/10/2013,2,77.92
10327,FOLKO,2,11/10/2013,08/11/2013,14/10/2013,1,63.36
10328,FURIB,4,14/10/2013,11/11/2013,17/10/2013,3,87.03
10329,SPLIR,4,15/10/2013,26/11/2013,23/10/2013,2,191.67
10330,LILAS,3,16/10/2013,13/11/2013,28/10/2013,1,12.75
10331,BONAP,9,16/10/2013,27/11/2013,21/10/2013,1,10.19
10332,MEREP,3,17/10/2013,28/11/2013,21/10/2013,2,52.84
10333,WARTH,5,18/10/2013,15/11/2013,25/10/2013,3,0.59
10334,VICTE,8,21/10/2013,18/11/2013,28/10/2013,2,8.56
10335,HUNGO,7,22/10/2013,19/11/2013,24/10/2013,2,42.11
10336,PRINI,7,23/10/2013,20/11/2013,25/10/2013,2,15.51
10337,FRANK,4,24/10/2013,21/11/2013,29/10/2013,3,108.26
10338,OLDWO,4,25/10/2013,22/11/2013,29/10/2013,3,84.21
10339,MEREP,2,28/10/2013,25/11/2013,04/11/2013,2,15.66
10340,BONAP,1,29/10/2013,26/11/2013,08/11/2013,3,166.31
10341,SIMOB,7,29/10/2013,26/11/2013,05/11/2013,3,26.78
10342,FRANK,4,30/10/2013,13/11/2013,04/11/2013,2,54.83
10343,LEHMS,4,31/10/2013,28/11/2013,06/11/2013,1,110.37
10344,WHITC,4,01/11/2013,29/11/2013,05/11/2013,2,23.29
10345,QUICK,2,04/11/2013,02/12/2013,11/11/2013,2,249.06
10346,RATTC,3,05/11/2013,17/12/2013,08/11/2013,3,142.08
10347,FAMIA,4,06/11/2013,04/12/2013,08/11/2013,3,3.1
10348,WANDK,4,07/11/2013,05/12/2013,15/11/2013,2,0.78
10349,SPLIR,7,08/11/2013,06/12/2013,15/11/2013,1,8.63
10350,LAMAI,6,11/11/2013,09/12/2013,03/12/2013,2,64.19
10351,ERNSH,1,11/11/2013,09/12/2013,20/11/2013,1,162.33
10352,FURIB,3,12/11/2013,26/11/2013,18/11/2013,3,1.3
10353,PICCO,7,13/11/2013,11/12/2013,25/11/2013,3,360.63
10354,PERIC,8,14/11/2013,12/12/2013,20/11/2013,3,53.8
10355,AROUT,6,15/11/2013,13/12/2013,20/11/2013,1,41.95
10356,WANDK,6,18/11/2013,16/12/2013,27/11/2013,2,36.71
